,id,type,actor_login,repo_name,created_at,action,issue_title,comment_body
41391,10357408774,IssueCommentEvent,nesquena-hermes,nesquena/hermes-webui,2026-06-06T11:09:48Z,created,Bug: Context length indicator ignores `providers` / `custom_providers` per-model overrides,"Thanks for the unusually thorough writeup. I traced all three WebUI codepaths plus the agent-side helpers, and the citations check out — but there's a gap in the proposed fix for the *headline* repro that's worth flagging before anyone implements it.

## The three codepaths are accurate

- **Codepath 1** — `api/routes.py:_resolve_context_length_for_session_model` (the function is at line 2260 on master, not 2205). Confirmed: line 2299 reads only the legacy list (`_cfg_for_cl.get('custom_providers')`), and line 2306 passes `""""` for base_url:

```python
_raw_cp_load = _cfg_for_cl.get('custom_providers') if isinstance(_cfg_for_cl, dict) else None
...
return _get_cl(model_for_lookup, """", config_context_length=_cfg_ctx_len_load, ...)
```

- **Codepath 2** — `api/streaming.py:4581` — confirmed, the metering-guard recompute calls `get_model_context_length` with no `custom_providers` kwarg.
- **Codepath 3** — `api/streaming.py:6699` — confirmed, reads only the legacy list.

The fix direction (route through `hermes_cli.config.get_compatible_custom_providers` and pass `model.base_url`) matches what the agent already does at `agent/agent_init.py:1325-1347`, so it's the right shape for the `custom_providers`-with-`base_url` case.

## The gap: the anthropic repro has no base_url

Your reproduction config uses `providers.anthropic.models.<model>.context_length` — a *standard* provider with no `base_url`. The proposed fix won't resolve that, because the agent's per-model override lookup is base_url-keyed end to end:

1. `get_compatible_custom_providers` folds the keyed `providers` dict via `providers_dict_to_custom_providers` → `_normalize_custom_provider_entry`, which **drops any entry without a valid base_url** (`hermes_cli/config.py:3728`):

```python
if not base_url:
    return None
```

2. Even if an entry survived, `get_custom_provider_context_length` matches strictly by URL and bails on an empty target (`hermes_cli/config.py:3884`, `:3898`): `if not model or not base_url: return None`.

3. `agent/model_metadata.py:1524` gates step 0b the same way: `if custom_providers and base_url and model:`.

So `providers.anthropic` with `models:` but no `base_url` produces no usable entry, and the per-model override is invisible to all three layers — the proposed patch included.

## What actually drives your flicker

For the non-default model (`claude-opus-4-6`), the real culprit is the default-match gate in codepath 1 at `api/routes.py:2287-2290`:

```python
if _raw_cfg_ctx_load is not None and (
    not _cfg_default_model
    or _model_matches_configured_default(model_for_lookup, _cfg_default_model, provider)
):
```

Your global `model.context_length: 256000` only gets applied to the *default* model here (this gate is intentional — it stops a default's cap clobbering a 1M variant). The agent side does **not** gate it (`agent_init.py:1300`, `_config_context_length = _model_cfg.get(""context_length"")` is applied unconditionally), which is why the compressor holds 256k for both models while the WebUI display drops to the 1M catalog value for the non-default one.

## Recommendation

The `custom_providers` (LiteLLM-style, base_url present) half of your report is genuinely fixed by the proposed patch. For the standard-provider keyed-schema half, a base_url-keyed lookup can't help — closing that needs a provider-key-based override read (e.g. `cfg['providers'][provider]['models'][model]['context_length']`) that doesn't depend on base_url, ideally added to `hermes_cli.config` so the agent and WebUI share one resolver. If your live deployment uses `custom_providers` with a real `base_url` (not the bare `providers.anthropic` shown), the proposed patch should cover it as-is — worth confirming which schema you're actually running, since the two halves need different fixes.
"
40527,10356340133,IssueCommentEvent,an0mium,synaptent/aragora,2026-06-06T09:35:51Z,created,fix(review-queue): fail closed on partial evidence,"## Claude independent model review

Reviewer: claude (anthropic) — independent adversarial model review via the Aragora Claude reviewer, grounded on the exact PR head.
Head: 317b942 (317b94232d3ba41c3a1e546a94010dfdf069f85f), committed 2026-06-06T07:39:07Z.
PR: #7825.
Model family: claude

Verdict: PASS

No blocking correctness, security, or regression issues. A few non-blocking observations:

- [P3] `aragora/swarm/quorum_evidence.py:595-610` — In `_locked_quorum_reconcile_state`, the lock acquisition does `os.open(..., O_EXCL)` then `os.write(fd, ...)` outside a try/finally. If `os.write` raises anything other than `FileExistsError`, the fd leaks and the lock file is orphaned until the 15‑min stale recovery kicks in. Wrap the write (or move to `os.fdopen`) with a guard that closes+unlinks on failure.
- [P3] `aragora/swarm/quorum_evidence.py:618-624` — The finally always `unlink(lock_path)` without verifying the file on disk is still ours. If a process's lock is wrongly detected as stale (PID reuse + >15 min age) and another process recreates the lock, the original owner finishing later will unlink a lock it doesn't own. Strict stale guards (age + alive PID check) make this very unlikely, but writing the fd content with a per-process token and verifying before unlink would close the hole.
- [P3] `aragora/swarm/quorum_evidence.py:373-405` — Per‑reviewer `multiprocessing.get_context(""spawn"")` reboots a Python interpreter for every API agent family. With multiple families per PR this adds seconds of latency to `collect_evidence`. Worth measuring; consider a single reviewer subprocess that handles all families serially.
- [P3] `aragora/swarm/quorum_evidence.py:258-271` — `_reviewer_verdict` actually returns the verdict from the *first line that starts with* ""verdict:"", not the first non‑empty line as the docstring states. In practice the reviewer prompt enforces it at the top so this is benign, but the docstring overpromises.
- [P3] `aragora/swarm/quorum_evidence.py:626-633` — `default_quorum_reconciler` imports private `_load_state`/`_save_state` from `scripts.reconcile_merge_quorum`. Tight coupling to internals; consider promoting these to a small public surface so future refactors don't silently break the locked state path.

The new ""two supportive verdicts required"" gate is a deliberate behavior change and is fully covered by updated tests (`test_collect_failed_reviewer_is_reported`, `test_collect_does_not_post_uncountable_evidence`, `test_collect_rejects_unsupported_family`, new dissent/quorum‑incomplete tests). The reconciler‑under‑lock flow and stale‑PID recovery both have direct tests. Multiprocessing timeout/cleanup paths have unit coverage for blocked workers and stuck close coroutines.

dogfood: yes
"
2490,10111729870,IssueCommentEvent,NullVerdict,ilyhalight/voice-over-translation,2026-06-01T02:54:22Z,created,"Пропала возможность использовать перевод ""Живые голоса""","@zefkerr Живые голоса были убраны из настроек в версии 1.11.6, теперь они находятся здесь.
Или вы имеете в виду, что из этого нового меню исчезли живые голоса?

<img width=""428"" height=""278"" alt=""Image"" src=""https://github.com/user-attachments/assets/0b7e0c04-b7df-4127-be75-b56203ec7a4d"" />"
35012,10351446391,IssueCommentEvent,jwj2002,jwj2002/agents,2026-06-06T03:03:52Z,created,feat(telemetry): universal session-level capture hook (#229),"## Review (scratch) — REQUEST CHANGES (1 blocking + 1 should-fix)

Strong hook overall: fail-open `main()` (returns 0 on any error), read-only timed subprocess, metadata-only record, idempotent boundary-freeze. Two changes before merge:

**🔴 Blocking — secret-capture via raw bash commands.** `_parse_transcript` line 184 appends `cmd[:300]` (the *raw* command) to `bash_patterns`, and that list is persisted into the (hub-synced) session shard at the record's `artifact_evidence.bash_patterns`. Raw commands can contain inline secrets (`export API_KEY=…`, bearer tokens, inline passwords). This violates the spec's sanitization stance + E15. **The hook already derives `has_commit`/`has_test_run` from the command (lines 185-188), so the raw list isn't needed for classification.** Fix: drop `bash_patterns` from the persisted record (keep the derived booleans); if a command signal is wanted, store a **categorized token** (e.g. `git_commit`, `test_run`, `pip_install`), never the raw string. Add a test asserting **no raw command string appears in the written record**.

**🟠 Should-fix (same pass) — dead capture of `first_user_text`.** Lines 150-158 capture `content[:500]` of the user's first turn, but it's *not* in the written record — dead capture of potentially-sensitive prompt text + a latent leak. Remove the capture (or derive a non-sensitive boolean if a deliberative signal is needed later).

**🟡 Follow-ups (NOT this PR):** cap transcript parse at N lines (bound Stop-hook latency on huge transcripts); `sessions.jsonl` rotation. File as a separate issue.

Judgment calls (1) gitignore + (2) §2.5-flag-deferral: both approved. Re-request review when the two fixes + the no-secret test are in."
32807,10349065553,IssueCommentEvent,VitorMRodovalho,VitorMRodovalho/ai-pm-research-hub,2026-06-06T00:37:38Z,created,certificates: persist counter-signature proof and agreement evidence,"Closing as **already-fixed + deployed** (PM-approved 2026-06-05). The 2026-05-19 premise (counter_signature_hash absent; signed_ip/UA never persisted) was remediated and shipped:
- `certificates.counter_signature_hash` column exists; `counter_sign_certificate(uuid, p_signed_ip, p_signed_user_agent)` writes the hash + logs to `admin_audit_log` + notifies the member.
- `sign_volunteer_agreement(...)` persists `signed_ip` + `signed_user_agent` (500-char server cap).
- Migration `20260724000000_p203_issue_181_persist_signature_evidence.sql` applied + registered; live RPC bodies byte-match it (restored in `20260802000006` after the p209 drift batch).
- Contract test `tests/contracts/certificate-signature-evidence.test.mjs` asserts every acceptance criterion + is in CI.

Forward-only by design: the 33 legacy counter-signed + 41 pre-fix signed rows can't be backfilled (their hashes depend on past now()/IP/UA that can't be reconstructed — stated in the migration header). Optional follow-up (filed separately if wanted): wire `p_signed_user_agent` through the MCP `counter_sign_certificate` tool (index.ts:3453) for MCP-path UA parity."
52060,10370403131,IssueCommentEvent,mloh908,mloh908/YT-fake-and-unwanted-or-malicious-channel-,2026-06-07T03:01:56Z,created,Unwanted,"https://m.youtube.com/@ashrafabulkherYT
Blocked "
63435,10385149907,IssueCommentEvent,Fluxerr,Fluxerr/SteamVault,2026-06-07T22:21:42Z,created,Error,Please try to restart steam
59847,10377140916,IssueCommentEvent,jocoo,Szotasz/marveen,2026-06-07T12:37:07Z,created,"fix(agent-process,start): execFile tmux launch + optional google-sheets MCP",Closing: the google-sheets MCP boot block in start.sh is no longer needed -- the project is migrating to Google Drive MCP for sheets access. The execFile-vs-execSync fix for the tmux launch could be split out into a smaller PR if there is interest.
56051,10373079365,IssueCommentEvent,loning,the-omega-institute/newmath,2026-06-07T07:22:46Z,created,SAE/Probe backend,"## 📊 codex 进展 phase9-issue910-r3-judge (⏳ 进行中; 已跑 0 min)

```
+solver_verdicts:
+  minimal: propose
+  structural: false-positive
+  delete: false-positive
+decision: converge
+---
+
+## Decision
+r3 未达到 3/3 unanimous consensus，不能 dispatch implement。minimal 明确允许在 `owner TBD` 与 `transition=unknown/0/none` 下落一个两文件、fail-closed、pointer-only 的 `SAEProbeBackendEvidenceAdapter` 合同；structural 与 delete 则都把当前 work unit 判为无 producer 的 false-positive/collapse，主张 #910 只保留为 issue-only hardgate/schema spec，等真实 SAE/probe evidence producer、runner、metrics owner 或 intervention/patching artifact envelope 成为 scope source 后再实现。三方都同意 `.refactor-loop/host.env` 不是生产 SSOT，不改 CLAUDE.md/Tier/SPEC/Lean/BEDC paper，也同意未来任何 D3+ 都必须有 classifier-surface delta、`net_positive_signal=true`、intervention 或 patching evidence；唯一剩余分歧是 issue-only hardgate/schema 是否足以授权创建可加载但永久 blocked/DN 的 adapter surface。
+
+## If converge
+- Convergence question (specific): 在 issue 910 的 `owner TBD` 与 `transition=unknown/0/none` 条件下，issue-only hardgate/schema spec 本身是否构成创建 loadable fail-closed adapter 的实现授权，还是必须 collapse 到真实 evidence producer 出现后；请三方给出同一 terminal action。
+- What each solver should address explicitly:
+  - 必须直接选择 `adapter-authorized` 或 `collapse-until-producer`，不要同时保留两套可选路径。
+  - 如果选择 `adapter-authorized`，必须说明为什么无 producer 的 `compute_metrics`、`derive_ledger_rows`、`derive_negative_discovery_rows`、`project_discovery_level` 不构成 self-referential evidence，并固定 exact 文件清单是否仅为 `sae_probe.py` + `test_sae_probe_backend.py`。
+  - 如果选择 `collapse-until-producer`，必须说明 false-positive 是否可由当前 issue body/comments 与本轮 solver evidence 验证，且 terminal action 是 blocking comment、label、duplicate/collapse 还是 close-wontfix。
+  - 三方都必须继续保持 `.refactor-loop/host.env` 非生产 SSOT；不改 CLAUDE.md、Tier、SPEC、Lean、BEDC paper、canonical report registry 或 discovery core。
+- Round number this fires: 4; marker payload uses source round `3`
+
+## Round audit trail (links to local artifacts)
+- solver-minimal: .refactor-loop/logs/phase9-issue910-r3-minimal.log
+- solver-structural: .refactor-loop/logs/phase9-issue910-r3-structural.log
+- solver-delete: .refactor-loop/logs/phase9-issue910-r3-delete.log
+
+⟦AI:AUTO-LOOP⟧
```

> 自动更新每 10 分钟;edit-in-place 不堆评论;codex EXIT=0 后此 comment 自动删除。
🤖 controller progress reporter

⟦AI:AUTO-LOOP⟧
"
51908,10370199728,IssueCommentEvent,Predidit,Predidit/Kazumi,2026-06-07T02:40:58Z,created,[Bug]: 2.1.3版本，使用视频内手势会导致应用闪退,2.1.4 已经发布
18952,10253128074,IssueCommentEvent,jun1okamura,OpenSUSI/TR-1um,2026-06-03T22:55:15Z,created,TR-1um Pcell library: Revised moscap Pcell,Thank you for updating it to fix.
29504,10345535325,IssueCommentEvent,lerian-studio,LerianStudio/github-actions-shared-workflows,2026-06-05T21:49:34Z,created,feat(benedita): register forge under app_helmfile_env (cross),"<!-- lint-analysis -->
## 🔍 Lint Analysis

| Check | Files Scanned | Status |
|-------|:-------------:|:------:|
| YAML Lint | 1 file(s) | ✅ success |
| Action Lint | _no changes_ | ⏭️ skipped |
| Pinned Actions | _no changes_ | ⏭️ skipped |
| Markdown Link Check | _no changes_ | ⏭️ skipped |
| Spelling Check | 1 file(s) | ✅ success |
| Shell Check | _no changes_ | ⏭️ skipped |
| README Check | _no changes_ | ⏭️ skipped |
| Composite Schema | _no changes_ | ⏭️ skipped |
| Deployment Matrix | 1 file(s) | ✅ success |
---
<sub>🔍 [View full scan logs](https://github.com/LerianStudio/github-actions-shared-workflows/actions/runs/27041906409)</sub>
"
61092,10382206994,IssueCommentEvent,konard,xlabtg/teleton-agent,2026-06-07T18:41:18Z,created,fix: отключить native tools для NVIDIA GLM-5.1,"## ✅ Ready to merge

This pull request is now ready to be merged:
- All CI checks have passed
- No merge conflicts
- No pending changes

---
*Monitored by hive-mind with --auto-restart-until-mergeable flag*"
796,10109521314,IssueCommentEvent,BBuf,sgl-project/sglang,2026-06-01T00:48:51Z,created,Optimize Gemma4 H200 MoE and extend attention,/rerun-failed-ci
30663,10347534613,IssueCommentEvent,dadamschi,dadamschi/portergoldberg,2026-06-05T23:11:09Z,created,404: /,"**Occurred again at 2026-06-05T23:11:08.721Z**

- Referer: https://portergoldberg.com/"
44774,10366943259,IssueCommentEvent,SwissalpS,mt-mods/technic,2026-06-06T21:48:31Z,created,allowing any sand in the alloyer recipe for silicon wafers,Purer in what? Some sands have more of X-component others of Y. Also not all sand is shaped the same but that isn't as important when melting it down.
29783,10346461730,IssueCommentEvent,Ialdabaoth,Ialdabaoth/Ialdabaoth,2026-06-05T22:24:21Z,created,contact QRI for various projects. ,"> > ""Mycorhizal networking"" (Heph)
> 
> This is this one right?
> 
> > ""can a mushroom forest learn to use an LLM and speak to humans"" (is anyone working on this?)
> 
> https://x.com/DefenderOfBasic/status/2030071354960060919
> 
> 

Correct! But humanoid's is likely to be a better ""opening conversation"" given how much easier it would be to start."
31739,10348290300,IssueCommentEvent,emooreatx,CIRISAI/CIRISRegistry,2026-06-05T23:50:39Z,created,[Post-v2.0.0] Enforce CEG 0.2 §10.3.1 STH consistency-proof at cosign admission,"Closed in **v2.3.0** (R3). RFC 6962 §2.1.2 consistency verifier (db::merkle_consistency, vendored from the vetted ciris-verify-core::transparency, TDD'd against independent Python/hashlib known-answer vectors — 10 tests). Admission gate in sth_cosign anchors on the Registry-recorded prior STH per witness; first-cosign exempt; CONSISTENCY_PROOF_INVALID (422) on failure. §10.3.1 now ENFORCED. Validation in flight."
8732,10158080742,IssueCommentEvent,tranha80,ritesh-1918/HELPDESK.AI,2026-06-02T02:12:32Z,created,CRITICAL: Frontend crash in AdminTicketDetail + XSS in AI chat markdown rendering,"Subject: Experienced Frontend Developer Ready to Resolve Your Critical Issues (Admin Crash & XSS)

Dear Hiring Manager,

I am writing to express my immediate and strong interest in your critical frontend stability and security issues, specifically the `AdminTicketDetail` runtime crash and the XSS vulnerability in the AI chat's markdown rendering. Having reviewed your job description in detail, I understand the severity and urgency of these problems, and I am confident that my extensive experience as a professional frontend developer makes me the ideal candidate to implement and verify the necessary fixes swiftly and effectively.

**Understanding the Critical Problems:**

1.  **CRITICAL: Frontend Crash in `AdminTicketDetail`**: The `ReferenceError` caused by the missing `safeDisplayText` import is a showstopper, completely breaking a vital admin page. This is a common but impactful oversight that demands immediate attention.
2. 2.  **HIGH: XSS Vulnerability in AI Chat**: The unsanitized rendering of AI-generated markdown is a serious security flaw. Given the unpredictable nature of AI content and the risk of prompt injection, preventing potential XSS attacks through proper sanitization is paramount to protect your users and your application's integrity.
**My Expertise & Value Proposition:**

With over 8 years of experience in React, JavaScript, and modern frontend development, I specialize in not only building robust user interfaces but also in meticulously debugging complex issues and implementing stringent security measures. My background includes:

*   **Deep React & Frontend Proficiency**: Expert-level command of React, component lifecycles, state management, and debugging complex runtime errors.
* *   **Security-First Development**: Extensive experience in identifying and mitigating common web vulnerabilities, particularly XSS, by implementing proper sanitization, input validation, and secure rendering practices.
* * *   **Markdown Rendering Security**: Familiarity with `ReactMarkdown` and its ecosystem, including security plugins like `rehype-sanitize`, ensuring safe rendering of user-generated or third-party content.
* * * *   **Attention to Detail**: A meticulous approach to code reviews, dependency management, and ensuring that all changes are thoroughly tested and do not introduce regressions.
**My Solution Approach (Implementation & Verification):**

I have carefully reviewed the proposed fixes on your `fix/frontend-critical-crashes-and-secrets` branch and concur with their elegant simplicity and effectiveness. My approach will be to:

1.  **Immediate Resolution for `AdminTicketDetail`**: I will integrate the `import { safeDisplayText } from ""../../utils/sanitizeText"";` "
21802,10272890681,IssueCommentEvent,anagnorisis2peripeteia,openclaw/clawsweeper,2026-06-04T09:58:57Z,created,feat: add local-review command for offline branch review,@clawsweeper re-review
46548,10368113606,IssueCommentEvent,CoraniLimber,sis-inf/escuadra,2026-06-06T23:24:21Z,created,docs: crear docs/modulos/matematicas.md — catálogo completo del módulo de matemáticas,me gustaria contribuir con esta issue
8402,10157344247,IssueCommentEvent,popfido,jundot/omlx,2026-06-02T01:42:33Z,created,/v1/chat/completions accepts logprobs: true / top_logprobs: N but returns empty logprobs.content,"Interesting when someone wants to use oMLX as a local evaluation system when doing RL.

Opened #1591 implementing this.

Per-token logprobs are now returned from `/v1/chat/completions` (both streaming and non-streaming) in the OpenAI shape — `{token, logprob, bytes, top_logprobs[]}` under `choices[].logprobs.content` — gated behind the standard `logprobs` `top_logprobs` request params (0–20). Your field-aligned mean-logprob use case works directly: each content token carries its chosen-token `logprob`, even at `top_logprobs: 0`.

Validated on a real model (Qwen3.6-27B-UD-MLX-4bit):
- non-streaming and streaming return logprobs, with `len(logprobs.content)` exactly equal to the generated content-token count;
- negligible decode overhead when enabled (~12.9 vs ~12.5 tok/s at top-5), and the path is unchanged when not requested.

Two limitations noted in the PR: logprobs are suppressed under MTP/DFlash speculative decoding (the draft head's distribution isn't the target model's), and streaming omits them while a tool-call filter is active (non-streaming with tools still returns them). And I don't think ppl would use MTP/DFlash when using oMLX as RL evaluation server :)

Feedback welcome, and happy to have you test it.
"
42371,10361160169,IssueCommentEvent,KGFCH2,Sejal10406/student-task-manager,2026-06-06T14:57:42Z,created,accessibility: improve focus outlines and small text contrast ratios,@Sejal10406 
59065,10375520106,IssueCommentEvent,alucero270,alucero270/pantheon,2026-06-07T10:47:16Z,created,[validation] validate Prometheus container network exposure,"Validated and remediated the Prometheus container exposure drift on 2026-06-07.

Live changes:
- Removed Anemoi direct host publish; it now stays container-only and is reached by Traefik on the shared `proxy` Docker network.
- Reduced Homelable frontend/MCP publishes to `127.0.0.1:3000` and `127.0.0.1:8001`.
- Reduced media UI publishes:
  - Prowlarr `0.0.0.0:9696` -> `127.0.0.1:9696`
  - Radarr `0.0.0.0:7878` -> `127.0.0.1:7878`
  - Sonarr `0.0.0.0:8989` -> `127.0.0.1:8989`

Validation evidence:
- `docker ps` now shows no broad service UI publishes.
- `ss -ltn` confirmed the Homelable and media UI ports listen on `127.0.0.1` only.
- `https://anemoi.home.arpa/health` returned HTTP 200 through Traefik after removing the direct host port.
- Homelable frontend returned HTTP 200 locally and unauthenticated MCP returned HTTP 401 locally.
- Prowlarr returned HTTP 302 locally; Radarr and Sonarr returned HTTP 200 locally.
- Final Docker exposure sweep showed only Traefik broad-bound on `0.0.0.0:80`, `:443`, and `:8443`, with Traefik dashboard bound to `127.0.0.1:18080`.

Rollback snapshots are recorded in `systems/prometheus/opt/stacks/procedures/prometheus-live-update-2026-06-06.md`, including:
- `/home/alex/stacks/ai/docker-compose.yml.2026-06-06-220650.anemoi-exposure.bak`
- `/opt/traefik/dynamic/anemoi.yml.2026-06-06-220650.anemoi-exposure.bak`
- `/opt/stacks/homelable/compose.yml.2026-06-07-001045.localhost-bind-target.bak`
- `/opt/stacks/media/vpn/compose.yml.2026-06-07-002215.media-localhost-bind.bak`

Closing this because the container network exposure issue has been addressed and validated. Any future LAN/WAN access expansion should be tracked as a separate ingress/security decision."
9630,10161332061,IssueCommentEvent,GurinderRawala,GurinderRawala/app-permiles,2026-06-02T04:33:38Z,created,feat(shared): add date and string utility helpers,"@coderabbitai please remember the following project conventions for all future PRs in this repository:

1. All shared utility functions under `src/shared/utils/` must include JSDoc comments describing the function's purpose, parameters, and return value.
2. Date-related helpers in this project must return an empty string (not `null` or `undefined`) when given an invalid `Date` input, to keep formatting consumers simple.
3. Slug generators should always lowercase the input, collapse runs of non-alphanumeric characters to a single `-`, and trim leading/trailing dashes.

Please apply these as learnings going forward."
25353,10306441260,IssueCommentEvent,codecov-commenter,bug-ops/exarch,2026-06-05T02:03:38Z,created,fix(core): strip absolute entry paths in TAR and 7z when allow_absolute_paths=true,"## [Codecov](https://app.codecov.io/gh/bug-ops/exarch/pull/350?dropdown=coverage&src=pr&el=h1&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=Andrei+G.) Report
:x: Patch coverage is `98.37838%` with `3 lines` in your changes missing coverage. Please review.

| [Files with missing lines](https://app.codecov.io/gh/bug-ops/exarch/pull/350?dropdown=coverage&src=pr&el=tree&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=Andrei+G.) | Patch % | Lines |
|---|---|---|
| [crates/exarch-core/src/formats/sevenz.rs](https://app.codecov.io/gh/bug-ops/exarch/pull/350?src=pr&el=tree&filepath=crates%2Fexarch-core%2Fsrc%2Fformats%2Fsevenz.rs&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=Andrei+G.#diff-Y3JhdGVzL2V4YXJjaC1jb3JlL3NyYy9mb3JtYXRzL3NldmVuei5ycw==) | 98.21% | [2 Missing :warning: ](https://app.codecov.io/gh/bug-ops/exarch/pull/350?src=pr&el=tree&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=Andrei+G.) |
| [crates/exarch-core/src/formats/tar.rs](https://app.codecov.io/gh/bug-ops/exarch/pull/350?src=pr&el=tree&filepath=crates%2Fexarch-core%2Fsrc%2Fformats%2Ftar.rs&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=Andrei+G.#diff-Y3JhdGVzL2V4YXJjaC1jb3JlL3NyYy9mb3JtYXRzL3Rhci5ycw==) | 98.63% | [1 Missing :warning: ](https://app.codecov.io/gh/bug-ops/exarch/pull/350?src=pr&el=tree&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=Andrei+G.) |

[![Impacted file tree graph](https://app.codecov.io/gh/bug-ops/exarch/pull/350/graphs/tree.svg?width=650&height=150&src=pr&token=AKF1TLTVCA&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=Andrei+G.)](https://app.codecov.io/gh/bug-ops/exarch/pull/350?src=pr&el=tree&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=Andrei+G.)

```diff
@@            Coverage Diff             @@
##             main     #350      +/-   ##
==========================================
+ Coverage   95.24%   95.28%   +0.03%     
==========================================
  Files          59       59              
  Lines       14471    14652     +181     
==========================================
+ Hits        13783    13961     +178     
- Misses        688      691       +3     
```

| [Flag](https://app.codecov.io/gh/bug-ops/exarch/pull/350/flags?src=pr&el=flags&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=Andrei+G.) | Coverage Δ | |
|---|---|---|
| [exarch-python](https://app.codecov.io/gh/bug-ops/exarch/pull/350/flags?src=pr&el=flag&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=Andrei+G.) | `97.27% <ø> (ø)` | |

Flags with carried forward coverage won't be shown. [Click here](https://docs.codecov.io/docs/carryforward-flags?utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=Andrei+G.#carryforward-flags-in-the-pull-request-comment) to find out more.

| [Files with missing lines](https://app.codecov.io/gh/bug-ops/exarch/pull/350?dropdown=coverage&src=pr&el=tree&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=Andrei+G.) | Coverage Δ | |
|---|---|---|
| [crates/exarch-core/src/formats/tar.rs](https://app.codecov.io/gh/bug-ops/exarch/pull/350?src=pr&el=tree&filepath=crates%2Fexarch-core%2Fsrc%2Fformats%2Ftar.rs&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=Andrei+G.#diff-Y3JhdGVzL2V4YXJjaC1jb3JlL3NyYy9mb3JtYXRzL3Rhci5ycw==) | `95.45% <98.63%> (+0.16%)` | :arrow_up: |
| [crates/exarch-core/src/formats/sevenz.rs](https://app.codecov.io/gh/bug-ops/exarch/pull/350?src=pr&el=tree&filepath=crates%2Fexarch-core%2Fsrc%2Fformats%2Fsevenz.rs&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=Andrei+G.#diff-Y3JhdGVzL2V4YXJjaC1jb3JlL3NyYy9mb3JtYXRzL3NldmVuei5ycw==) | `94.83% <98.21%> (+0.48%)` | :arrow_up: |
<details><summary> :rocket: New features to boost your workflow: </summary>

- :snowflake: [Test Analytics](https://docs.codecov.com/docs/test-analytics): Detect flaky tests, report on failures, and find test suite problems.
- :package: [JS Bundle Analysis](https://docs.codecov.com/docs/javascript-bundle-analysis): Save yourself from yourself by tracking and limiting bundle sizes in JS merges.
</details>"
